Ensembl	EntrezGene
AT1G05055-TAIR-G	839332
AT1G05060-TAIR-G	839336
AT1G05065-TAIR-G	839334
AT1G05070-TAIR-G	839330
AT1G05080-TAIR-G	839328
AT1G05085-TAIR-G	2745742
AT1G05090-TAIR-G	839327
AT1G05100-TAIR-G	839324
AT1G05120-TAIR-G	839319
AT1G05136-TAIR-G	6240520
AT1G05140-TAIR-G	839307
AT1G05150-TAIR-G	839312
AT1G05160-TAIR-G	839311
AT1G05170-TAIR-G	839292
AT1G05180-TAIR-G	839286
AT1G05190-TAIR-G	839273
AT1G05200-TAIR-G	839268
AT1G05205-TAIR-G	839266
AT1G05210-TAIR-G	839261
AT1G05220-TAIR-G	839258
AT1G05230-TAIR-G	839256
AT1G05240-TAIR-G	838206
AT1G05240-TAIR-G	839237
AT1G05250-TAIR-G	838206
AT1G05250-TAIR-G	839237
AT1G05260-TAIR-G	837028
AT1G05270-TAIR-G	837027
AT1G05280-TAIR-G	837026
AT1G05290-TAIR-G	837025
AT1G05291-TAIR-G	6240483
AT1G05300-TAIR-G	837029
AT1G05310-TAIR-G	837030
AT1G05320-TAIR-G	837031
AT1G05330-TAIR-G	837032
AT1G05340-TAIR-G	837033
AT1G05350-TAIR-G	837034
AT1G05360-TAIR-G	837035
AT1G05370-TAIR-G	837038
AT1G05380-TAIR-G	837039
AT1G05385-TAIR-G	837040
AT1G05400-TAIR-G	837041
AT1G05410-TAIR-G	837042
AT1G05420-TAIR-G	837043
AT1G05430-TAIR-G	837044
AT1G05440-TAIR-G	837045
AT1G05450-TAIR-G	837046
AT1G05460-TAIR-G	837047
AT1G05470-TAIR-G	837048
AT1G05490-TAIR-G	837051
AT1G05500-TAIR-G	837052
AT1G05510-TAIR-G	837053
AT1G05520-TAIR-G	837054
AT1G05530-TAIR-G	837055
AT1G05540-TAIR-G	837056
AT1G05550-TAIR-G	837057
AT1G05560-TAIR-G	837058
AT1G05570-TAIR-G	837059
AT1G05575-TAIR-G	837061
AT1G05577-TAIR-G	837062
AT1G05580-TAIR-G	837063
AT1G05590-TAIR-G	837064
AT1G05600-TAIR-G	837065
AT1G05610-TAIR-G	837066
AT1G05615-TAIR-G	837067
AT1G05620-TAIR-G	837068
AT1G05630-TAIR-G	837069
AT1G05640-TAIR-G	837070
AT1G05650-TAIR-G	837072
AT1G05660-TAIR-G	837073
AT1G05670-TAIR-G	837074
AT1G05680-TAIR-G	837075
AT1G05690-TAIR-G	837076
AT1G05700-TAIR-G	837077
AT1G05710-TAIR-G	837078
AT1G05720-TAIR-G	837079
AT1G05730-TAIR-G	837080
AT1G05740-TAIR-G	837081
AT1G05750-TAIR-G	837083
AT1G05760-TAIR-G	837084
AT1G05770-TAIR-G	837085
AT1G05780-TAIR-G	837086
AT1G05785-TAIR-G	837087
AT1G05790-TAIR-G	837088
AT1G05800-TAIR-G	837089
AT1G05805-TAIR-G	837090
AT1G05810-TAIR-G	837091
AT1G05820-TAIR-G	837092
AT1G05830-TAIR-G	837093
AT1G05835-TAIR-G	5007665
AT1G05840-TAIR-G	837094
AT1G05850-TAIR-G	837095
AT1G05860-TAIR-G	837096
AT1G05870-TAIR-G	837097
AT1G05880-TAIR-G	837098
AT1G05890-TAIR-G	837099
AT1G05894-TAIR-G	3766662
AT1G05900-TAIR-G	837100
AT1G05910-TAIR-G	837101
AT1G05920-TAIR-G	837102
AT1G05925-TAIR-G	6241333
AT1G05930-TAIR-G	837103
AT1G05940-TAIR-G	837104
AT1G05950-TAIR-G	837105
AT1G05960-TAIR-G	837106
AT1G05970-TAIR-G	837107
AT1G05990-TAIR-G	837108
AT1G06000-TAIR-G	837109
AT1G06010-TAIR-G	837110
AT1G06020-TAIR-G	837111
AT1G06030-TAIR-G	837112
AT1G06040-TAIR-G	837113
AT1G06050-TAIR-G	837114
AT1G06060-TAIR-G	837115
AT1G06070-TAIR-G	837116
AT1G06080-TAIR-G	837117
AT1G06090-TAIR-G	837118
AT1G06100-TAIR-G	837119
AT1G06110-TAIR-G	837120
AT1G06120-TAIR-G	837121
AT1G06130-TAIR-G	837122
AT1G06135-TAIR-G	2745743
AT1G06137-TAIR-G	6240721
AT1G06140-TAIR-G	837123
AT1G06145-TAIR-G	3766664
AT1G06148-TAIR-G	5007666
AT1G06149-TAIR-G	6241227
AT1G06150-TAIR-G	837124
AT1G06160-TAIR-G	837125
AT1G06170-TAIR-G	837126
AT1G06180-TAIR-G	837127
AT1G06190-TAIR-G	837128
AT1G06200-TAIR-G	837129
AT1G06210-TAIR-G	837130
AT1G06220-TAIR-G	837131
AT1G06225-TAIR-G	837132
AT1G06230-TAIR-G	837133
AT1G06240-TAIR-G	837134
AT1G06250-TAIR-G	837135
AT1G06260-TAIR-G	837137
AT1G06270-TAIR-G	837138
AT1G06280-TAIR-G	837139
AT1G06290-TAIR-G	837140
AT1G06310-TAIR-G	837141
AT1G06320-TAIR-G	837143
AT1G06330-TAIR-G	837144
AT1G06340-TAIR-G	837145
AT1G06350-TAIR-G	837146
AT1G06360-TAIR-G	837147
AT1G06380-TAIR-G	837149
AT1G06390-TAIR-G	837150
AT1G06400-TAIR-G	837151
AT1G06410-TAIR-G	837152
AT1G06420-TAIR-G	837153
